;ANO;NUTS_III;CODIGO_CONCELHO;Concelho;zona rqs;saifi at num;saidi at min;maifi at num;tiepi mt min;end mt mwh;saifi mt num;saidi mt min;maifi mt num;saifi bt num;saidi bt min;ligacao_auxiliar_mapa;codigo_concelho_sem_digitos;distrito
0;2022;Algarve;806;Lagoa;Concelho;0;0;0;40,03410787;10,95962182;1,229383933;43,94258314;4,251137047;1,225017366;68,44265896;1;8;Faro
1;2022;Algarve;812;São Brás de Alportel;Concelho;0;0;0;101,5744158;6,462113181;1,553845129;90,74031721;4,073503932;1,887307384;128,4379609;1;8;Faro
2;2022;Alentejo Litoral;1509;Santiago do Cacém;Zona C;0;0;1;44,59456497;6,901322283;2,982636046;47,34006508;17,80674682;4,292747649;93,85391878;1;15;Setúbal
3;2022;Alentejo Litoral;1509;Santiago do Cacém;Concelho;0;0;1;55,47358274;13,03378639;3,141415416;53,46167895;15,14978776;3,778155313;81,58602982;1;15;Setúbal
4;2022;Algarve;801;Albufeira;Zona C;0;0;0;43,9094975;13,42395423;1,416022201;43,20802862;7,362719266;1,53547735;50,75262917;1;8;Faro
5;2022;Algarve;807;Lagos;Zona B;0;0;0;34,70069747;6,769925728;1,434765054;36,44308456;2,106585537;1,481008484;37,67994583;1;8;Faro
6;2022;Algarve;815;Vila do Bispo;Concelho;0;0;0;155,8997732;14,09695492;3,125;191,9350694;8,321726884;3,87374588;222,3784665;1;8;Faro
7;2022;Alentejo Litoral;1513;Sines;Concelho;0;0;0;8,006781632;1,778758713;0,711767714;30,69129489;5,21870686;0,639647252;26,66203697;1;15;Setúbal
8;2022;Algarve;807;Lagos;Zona C;0;0;0;192,3160274;34,0141928;3,496983888;193,9708178;10,78584681;4,20326324;209,2140175;1;8;Faro
9;2022;Algarve;808;Loulé;Concelho;0;0;1;50,24438512;43,7210031;1,409931431;58,87083292;4,746461569;1,222413734;62,45475331;1;8;Faro
10;2022;Algarve;810;Olhão;Zona B;0;0;0;8,533330581;1,128063866;0,108333333;10,15722222;0,878151261;0,326131237;35,60878781;1;8;Faro
11;2022;Algarve;808;Loulé;Zona C;0;0;1;45,5573154;21,51235802;1,643144754;58,89786654;5,820066036;1,784649243;74,6284482;1;8;Faro
12;2022;Algarve;810;Olhão;Zona C;0;0;0;40,11576271;4,222125561;1,096657276;53,07394923;6,60385818;1,232092438;67,12019005;1;8;Faro
13;2022;Algarve;816;Vila Real de Santo António;Zona B;0;0;0;21,93690777;2,547526696;1,139980105;21,26193192;6,659475041;1,260641765;33,70475402;1;8;Faro
14;2022;Algarve;814;Tavira;Zona A;0;0;0;0;0;0;0;0;0;0;1;8;Faro
15;2022;Algarve;815;Vila do Bispo;Zona C;0;0;0;155,8997732;14,09695492;3,125;191,9350694;8,321726884;3,87374588;222,3784665;1;8;Faro
16;2022;Algarve;804;Castro Marim;Zona A;0;0;0;0;0;0;0;0;0;0;1;8;Faro
17;2022;Alentejo Litoral;1509;Santiago do Cacém;Zona B;0;0;0;78,40671395;6,132464105;3,8089407;78,43145067;4,451317361;3,466047154;72,81482265;1;15;Setúbal
18;2022;Algarve;810;Olhão;Zona A;0;0;0;0;0;0;0;0;0;0;1;8;Faro
19;2022;Algarve;809;Monchique;Zona A;0;0;0;0;0;0;0;0;0;0;1;8;Faro
20;2022;Algarve;813;Silves;Zona B;0;0;0;18,86271743;1,831180927;0,689462436;22,91181709;3,539043235;0,653175093;23,85881385;1;8;Faro
21;2022;Algarve;803;Aljezur;Zona A;0;0;0;0;0;0;0;0;0;0;1;8;Faro
22;2022;Algarve;815;Vila do Bispo;Zona B;0;0;0;0;0;0;0;0;0;0;1;8;Faro
23;2022;Algarve;812;São Brás de Alportel;Zona A;0;0;0;0;0;0;0;0;0;0;1;8;Faro
24;2022;Algarve;803;Aljezur;Zona C;0;0;0;113,3884602;6,313037411;1,629193553;107,4857746;10,38713193;2,621509007;161,5518915;1;8;Faro
